0.000000	-2.628967	6.003967	3.375000
0.001000	-2.633014	6.008016	3.375002
0.002000	-2.637144	6.012146	3.375001
0.003000	-2.641355	6.016357	3.375002
0.004000	-2.645648	6.020650	3.375002
0.005000	-2.650023	6.025026	3.375003
0.006000	-2.654478	6.029482	3.375004
0.007000	-2.659016	6.034019	3.375002
0.008000	-2.663635	6.038638	3.375003
0.009000	-2.668334	6.043338	3.375004
0.010000	-2.673115	6.048120	3.375004
0.011000	-2.677978	6.052981	3.375004
0.012000	-2.682921	6.057924	3.375003
0.013000	-2.687945	6.062949	3.375003
0.014000	-2.693050	6.068053	3.375003
0.015000	-2.698236	6.073239	3.375003
0.016000	-2.703503	6.078505	3.375002
0.017000	-2.708849	6.083852	3.375002
0.018000	-2.714276	6.089278	3.375002
0.019000	-2.719784	6.094786	3.375002
0.020000	-2.725371	6.100373	3.375002
0.021000	-2.731039	6.106041	3.375002
0.022000	-2.736786	6.111789	3.375002
0.023000	-2.742614	6.117616	3.375002
0.024000	-2.748521	6.123522	3.375002
0.025000	-2.754507	6.129508	3.375001
0.026000	-2.760573	6.135574	3.375001
0.027000	-2.766718	6.141720	3.375001
0.028000	-2.772942	6.147943	3.375001
0.029000	-2.779244	6.154245	3.375001
0.030000	-2.785624	6.160626	3.375002
0.031000	-2.792083	6.167085	3.375002
0.032000	-2.798620	6.173621	3.375002
0.033000	-2.805234	6.180236	3.375002
0.034000	-2.811926	6.186929	3.375003
0.035000	-2.818695	6.193697	3.375002
0.036000	-2.825541	6.200544	3.375002
0.037000	-2.832464	6.207467	3.375003
0.038000	-2.839463	6.214466	3.375003
0.039000	-2.846539	6.221540	3.375002
0.040000	-2.853690	6.228692	3.375002
0.041000	-2.860915	6.235916	3.375001
0.042000	-2.868216	6.243217	3.375002
0.043000	-2.875590	6.250592	3.375001
0.044000	-2.883039	6.258039	3.375000
0.045000	-2.890561	6.265561	3.375000
0.046000	-2.898156	6.273156	3.375000
0.047000	-2.905823	6.280822	3.375000
0.048000	-2.913560	6.288560	3.375000
0.049000	-2.921369	6.296370	3.375001
0.050000	-2.929249	6.304249	3.375000
0.051000	-2.937198	6.312198	3.375000
0.052000	-2.945216	6.320216	3.375000
0.053000	-2.953303	6.328302	3.374999
0.054000	-2.961456	6.336456	3.375000
0.055000	-2.969677	6.344676	3.374999
0.056000	-2.977962	6.352962	3.375000
0.057000	-2.986312	6.361312	3.375000
0.058000	-2.994727	6.369726	3.374999
0.059000	-3.003203	6.378202	3.374999
0.060000	-3.011742	6.386741	3.374999
0.061000	-3.020340	6.395339	3.374999
0.062000	-3.028999	6.403998	3.374999
0.063000	-3.037715	6.412714	3.374999
0.064000	-3.046489	6.421487	3.374999
0.065000	-3.055317	6.430315	3.374998
0.066000	-3.064199	6.439198	3.374998
0.067000	-3.073134	6.448132	3.374997
0.068000	-3.082119	6.457117	3.374998
0.069000	-3.091155	6.466151	3.374997
0.070000	-3.100236	6.475232	3.374995
0.071000	-3.109363	6.484359	3.374996
0.072000	-3.118535	6.493530	3.374996
0.073000	-3.127746	6.502742	3.374996
